               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,            0.027693,            0.016155,           0.0051318,             0.52998,             0.49945,             0.50446,             0.27548,            0.034949,           0.0092546,           0.0078237,            0.007393,            0.007393,            0.007393
                  81,            0.027242,            0.016281,           0.0047897,             0.51354,             0.48603,             0.48124,             0.26498,            0.035833,            0.009615,            0.010611,             0.00736,             0.00736,             0.00736
                  82,            0.026837,            0.015532,            0.005469,             0.52999,             0.53024,             0.49678,             0.28632,            0.034938,           0.0091409,            0.015134,            0.007327,            0.007327,            0.007327
                  83,            0.027416,            0.015634,           0.0060271,             0.47062,             0.52034,             0.47399,             0.26436,            0.035496,           0.0093905,           0.0099766,            0.007294,            0.007294,            0.007294
                  84,            0.027956,            0.016296,           0.0057902,             0.53485,             0.48697,             0.46441,             0.25541,            0.035517,           0.0097714,           0.0097393,            0.007261,            0.007261,            0.007261
                  85,             0.02674,             0.01607,           0.0067239,              0.5602,             0.48468,             0.46595,             0.25123,            0.036261,           0.0095829,            0.011627,            0.007228,            0.007228,            0.007228
                  86,            0.028073,            0.016137,           0.0064143,             0.54941,             0.47489,             0.47487,              0.2544,            0.036957,           0.0095361,           0.0098353,            0.007195,            0.007195,            0.007195
                  87,            0.027839,            0.016399,           0.0055972,             0.50635,             0.49519,             0.48656,             0.27505,             0.03563,           0.0095052,           0.0093657,            0.007162,            0.007162,            0.007162
                  88,            0.028016,            0.016171,           0.0056069,             0.53552,             0.50725,             0.49501,             0.28192,            0.035712,           0.0093135,           0.0086671,            0.007129,            0.007129,            0.007129
                  89,            0.026217,            0.015616,            0.005876,             0.52783,             0.50962,             0.48695,             0.27242,            0.035325,           0.0096799,            0.009075,            0.007096,            0.007096,            0.007096
                  90,             0.02688,             0.01609,            0.005522,             0.57253,             0.50635,             0.51502,             0.28643,            0.034822,           0.0095288,            0.010618,            0.007063,            0.007063,            0.007063
                  91,            0.027673,            0.015771,           0.0051316,             0.50668,             0.49714,             0.48189,             0.27131,            0.035631,            0.009686,            0.012762,             0.00703,             0.00703,             0.00703
                  92,            0.026315,            0.015795,           0.0049079,             0.55849,             0.51706,             0.51578,             0.28876,              0.0346,           0.0098559,            0.010036,            0.006997,            0.006997,            0.006997
                  93,            0.026391,            0.015918,           0.0047451,             0.53406,             0.50553,             0.48599,             0.27808,            0.034267,           0.0094655,           0.0089316,            0.006964,            0.006964,            0.006964
                  94,            0.027134,            0.015606,            0.004831,             0.60245,             0.49654,             0.51382,             0.28565,            0.035268,           0.0092398,            0.010345,            0.006931,            0.006931,            0.006931
                  95,            0.026938,            0.015268,           0.0054368,             0.53532,             0.52952,              0.4947,              0.2835,            0.035258,           0.0097278,            0.010537,            0.006898,            0.006898,            0.006898
                  96,            0.026429,            0.015812,           0.0054229,             0.59866,             0.48932,             0.49053,             0.27955,            0.035787,           0.0093731,           0.0094799,            0.006865,            0.006865,            0.006865
                  97,            0.026377,            0.016134,              0.0056,             0.56503,             0.52291,             0.52657,             0.29371,            0.035213,           0.0096706,            0.009004,            0.006832,            0.006832,            0.006832
                  98,            0.026572,            0.015061,           0.0054542,             0.56703,             0.50711,             0.50398,             0.28514,            0.034704,           0.0094365,           0.0094307,            0.006799,            0.006799,            0.006799
                  99,            0.025874,             0.01532,           0.0041923,             0.51061,             0.50492,               0.467,             0.26729,            0.035994,           0.0096797,            0.010178,            0.006766,            0.006766,            0.006766
